com_jivesoftware_openfire_session_RemoteClientSession.java/[CN]/	com_jivesoftware_openfire_session_RemoteSession.java/[CN]/
com_jivesoftware_openfire_session_ComponentSessionTask.java/[CN]/	com_jivesoftware_openfire_session_RemoteSessionTask.java/[CN]/
com_jivesoftware_openfire_session_IncomingServerSessionTask.java/[CN]/	com_jivesoftware_openfire_session_RemoteSessionTask.java/[CN]/
com_jivesoftware_openfire_session_RemoteIncomingServerSession.java/[CN]/	com_jivesoftware_openfire_session_RemoteSession.java/[CN]/
org_jivesoftware_xmpp_workgroup_spi_routers_DefaultRouter.java/[CN]/	org_jivesoftware_xmpp_workgroup_routing_RequestRouter.java/[CN]/
org_jivesoftware_xmpp_workgroup_spi_routers_WordMatchRouter.java/[CN]/	org_jivesoftware_xmpp_workgroup_routing_RequestRouter.java/[CN]/
org_jivesoftware_xmpp_workgroup_spi_routers_WordMatchRouterBeanInfo.java/[CN]/	org_jivesoftware_xmpp_workgroup_utils_WorkgroupBeanInfo.java/[CN]/
org_jivesoftware_xmpp_workgroup_spi_routers_MetaDataRouterBeanInfo.java/[CN]/	org_jivesoftware_xmpp_workgroup_utils_WorkgroupBeanInfo.java/[CN]/
org_jivesoftware_xmpp_workgroup_spi_routers_MetaDataRouter.java/[CN]/	org_jivesoftware_xmpp_workgroup_routing_RequestRouter.java/[CN]/
org_jivesoftware_xmpp_workgroup_spi_BasicRequestFilterFactory.java/[CN]/	org_jivesoftware_xmpp_workgroup_RequestFilterFactory.java/[CN]/
org_jivesoftware_xmpp_workgroup_spi_dispatcher_BasicAgentSelectorBeanInfo.java/[CN]/	org_jivesoftware_xmpp_workgroup_utils_WorkgroupBeanInfo.java/[CN]/
org_jivesoftware_xmpp_workgroup_request_TransferRequest.java/[CN]/	org_jivesoftware_xmpp_workgroup_request_Request.java/[CN]/
org_jivesoftware_xmpp_workgroup_request_InvitationRequest.java/[CN]/	org_jivesoftware_xmpp_workgroup_request_Request.java/[CN]/
org_jivesoftware_xmpp_workgroup_request_UserRequest.java/[CN]/	org_jivesoftware_xmpp_workgroup_request_Request.java/[CN]/
org_jivesoftware_xmpp_workgroup_interceptor_RoomInterceptorManager.java/[CN]/	org_jivesoftware_xmpp_workgroup_interceptor_InterceptorManager.java/[CN]/
org_jivesoftware_xmpp_workgroup_interceptor_ChatbotInterceptorManager.java/[CN]/	org_jivesoftware_xmpp_workgroup_interceptor_InterceptorManager.java/[CN]/
org_jivesoftware_xmpp_workgroup_interceptor_TrafficMonitorBeanInfo.java/[CN]/	org_jivesoftware_xmpp_workgroup_utils_WorkgroupBeanInfo.java/[CN]/
org_jivesoftware_xmpp_workgroup_interceptor_QueueInterceptorManager.java/[CN]/	org_jivesoftware_xmpp_workgroup_interceptor_InterceptorManager.java/[CN]/
org_jivesoftware_xmpp_workgroup_interceptor_OfferInterceptorManager.java/[CN]/	org_jivesoftware_xmpp_workgroup_interceptor_InterceptorManager.java/[CN]/
org_jivesoftware_xmpp_workgroup_interceptor_AgentInterceptorManager.java/[CN]/	org_jivesoftware_xmpp_workgroup_interceptor_InterceptorManager.java/[CN]/
org_jivesoftware_xmpp_workgroup_interceptor_WorkgroupInterceptorManager.java/[CN]/	org_jivesoftware_xmpp_workgroup_interceptor_InterceptorManager.java/[CN]/
org_jivesoftware_xmpp_workgroup_interceptor_UserInterceptorBeanInfo.java/[CN]/	org_jivesoftware_xmpp_workgroup_utils_WorkgroupBeanInfo.java/[CN]/
org_jivesoftware_xmpp_workgroup_WorkgroupAdminManager.java/[CN]/	org_jivesoftware_util_WebManager.java/[CN]/
org_jivesoftware_openfire_fastpath_commands_DeleteWorkgroup.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_fastpath_commands_CreateWorkgroup.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_MucFilterProcessor.java/[CN]/	org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_AbstractRemoteRosterProcessor.java/[CN]/
org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_NonPersistantRosterProcessor.java/[CN]/	org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_AbstractRemoteRosterProcessor.java/[CN]/
org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_DiscoIQRegisteredProcessor.java/[CN]/	org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_AbstractRemoteRosterProcessor.java/[CN]/
org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_WhitelistProcessor.java/[CN]/	org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_AbstractRemoteRosterProcessor.java/[CN]/
org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_StatisticsProcessor.java/[CN]/	org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_AbstractRemoteRosterProcessor.java/[CN]/
org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_ClientToComponentUpdateProcessor.java/[CN]/	org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_AbstractRemoteRosterProcessor.java/[CN]/
org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_GojaraAdminProcessor.java/[CN]/	org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_AbstractRemoteRosterProcessor.java/[CN]/
org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_IQRosterPayloadProcessor.java/[CN]/	org_jivesoftware_openfire_plugin_gojara_messagefilter_processors_AbstractRemoteRosterProcessor.java/[CN]/
org_jivesoftware_openfire_plugin_session_RemoteOutgoingServerSession.java/[CN]/	org_jivesoftware_openfire_plugin_session_RemoteSession.java/[CN]/
org_jivesoftware_openfire_plugin_session_ClientSessionTask.java/[CN]/	org_jivesoftware_openfire_plugin_session_RemoteSessionTask.java/[CN]/
